"Tytuł projektu";"Kierownik projektu";"Data rozpoczęcia realizacji projektu";"Termin zakończenia";"Instytucja finansująca";"Środki finansowe ogółem (PLN)";"Rodzaj projektu";"Nazwa programu";"Instytucja/Jednostka realizująca";"Adres jednostki realizującej";"Status projektu";
"Rozwój i przebieg antropogenicznych procesów sejsmicznych wywołanych przez sztuczne powierzchniowe zbiorniki wodne";"dr hab. Grzegorz LIZUREK";"2018-06-14";"2021-06-13";"
    •  budżet - NCN

";386680;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS";"
    •  Instytut Geofizyki Polskiej Akademii Nauk

";"
    •  Księcia Janusza 64, Warszawa

";"W trakcie realizacji";
"Mechanistyczne wyjaśnienie generowania (i odstępstw od) uniwersalnej krzywej rozkładu prawdopodobieństwa czasu powrotu trzęsień ziemi poprzez konstrukcje rozwiązalnych stochastycznych automatów komórkowych i ich opis analityczny.";"dr hab. Mariusz Jacek Białecki";"2018-06-14";"2021-06-13";"
    •  budżet - NCN

";395800;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS";"
    •  Instytut Geofizyki Polskiej Akademii Nauk

";"
    •  Księcia Janusza 64, Warszawa

";"W trakcie realizacji";
"""Wielka i Mała Rozbieżność"" widziane przez szkła korporacji: mieszkańcy Europy Środkowo-Wschodniej w Azji w XVII wieku";"prof. dr hab. Dariusz Włodzimierz Kołodziejczyk";"2018-06-14";"2021-07-13";"
    •  budżet - NCN

";696426;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 14";"
    •  Uniwersytet Warszawski; Wydział Historyczny

";"
    •  Krakowskie Przedmieście 26/28, Warszawa

";"W trakcie realizacji";
"Nowa klasa peptydów penetrujących jądro komórkowe. Projektowanie, synteza, mechanizm działania.";"dr hab. Magdalena Wysocka";"2018-06-14";"2021-06-13";"
    •  budżet - NCN

";843000;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 14";"
    •  Uniwersytet Gdański; Wydział Chemii

";"
    •  Wita Stwosza 63, Gdańsk

";"W trakcie realizacji";
"Nowy model bio-mechaniczny wzrostu osteofitów podczas oseoartrozy.";"mgr inż Ewa Irena Bednarczyk";"2018-06-13";"2021-06-12";"
    •  budżet - NCN

";120100;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"PRELUDIUM; edycja 14";"
    •  Politechnika Warszawska; Wydział Inżynierii Produkcji

";"
    •  Ludwika Narbutta 85, Warszawa

";"W trakcie realizacji";
"Badanie skrytości maskowania Kontenerowego Modułu Odsalania";"mgr inż. Waldemar KRÓLIKOWSKI";"2018-06-12";"2018-06-29";"
    •  środki przedsiębiorstw krajowych

";28000;"Inne programy";"Inny program (inny)";"
    •  Wojskowy Instytut Techniki Inżynieryjnej im. profesora Józefa Kosackiego

";"
    •  Obornicka 136, Wrocław

";"Zakończony - Zrealizowany";
"Zwiększenie trwałości zębów organu urabiającego i zwiększenie wydajności pogłębiarki";"prof. dr hab. EUGENIUSZ RUSIŃSKI";"2018-06-12";"2019-03-19";"
    •  środki przedsiębiorstw krajowych

";;"Inne programy";"Inny program (środki przedsiębiorstw krajowych)";"
    •  Politechnika Wrocławska; Wydział Mechaniczny

";"
    •  Ignacego Łukasiewicza 5, Wrocław

";"W trakcie realizacji";
"Monitoring zooindykacyjny regeneracji drzewostanów pohuraganowych w Puszczy Piskiej - kontynuacja";"prof. dr hab. Jarosław Skłodowski";"2018-06-11";"2021-11-30";"
    •  inna (Dyrekcja Generalna Lasów Państwowych)

";365037;64;"Inne programy";"Inny program (prace badawcze zlecone)";"
    •  Szkoła Główna Gospodarstwa Wiejskiego w Warszawie; Wydział Leśny

";"
    •  Nowoursynowska 159/Bud.34, Warszawa

";"W trakcie realizacji"
"Związki Alkoksylowe oraz Alkilonadtlenkowe Metali: Utlenianie versus Protonoliza Modelowych Związków Metaloorganicznych.";"prof. dr hab. Janusz Zbigniew Lewiński";"2018-06-08";"2020-06-07";"
    •  budżet - NCN

";1158600;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS";"
    •  Politechnika Warszawska; Wydział Chemiczny

";"
    •  Stanisława Noakowskiego 3, Warszawa

";"W trakcie realizacji";
"Edukacja, oświata i wychowanie w kształtowaniu polskiej nowoczesności i niepodległości w latach 1905-1918";"dr hab. Aneta Violetta Bołdyrew";"2018-06-08";"2023-06-07";"
    •  budżet - MNiSW

";751222;"Projekt finansowany przez ministra właściwego do spraw nauki";"Szlakami Polski Niepodległej";"
    •  Uniwersytet Łódzki; Wydział Nauk o Wychowaniu

";"
    •  Pomorska 46/48, Łódź

";"W trakcie realizacji";
"Zakaźna neoplazja? Rola horyzontalnego transferu komórek nowotworowych w etiologii neoplazji u małży z Zatoki Gdańskiej.";"dr Katarzyna Zofia Smolarz";"2018-06-06";"2021-06-05";"
    •  budżet - NCN

";982800;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"HARMONIA; edycja 9";"
    •  Uniwersytet Gdański; Wydział Oceanografii i Geografii
    •  Gdański Uniwersytet Medyczny; Wydział Farmaceutyczny z Oddziałem Medycyny Laboratoryjnej

";"
    •  Aleja marsz. Piłsudskiego 46, Gdynia
    •  gen. Józefa Hallera 107, Gdańsk

";"W trakcie realizacji";
"Maintained Mine & Machine";"dr hab. RADOSŁAW ZIMROZ";"2018-06-06";"2021-03-31";"
    •  środki Komisji Europejskiej

";;"Projekt w ramach programu ramowego Unii Europejskiej";"Projekty KIC";"
    •  Politechnika Wrocławska; Wydział Geoinżynierii, Górnictwa i Geologii

";"
    •  Na Grobli 15, Wrocław

";"W trakcie realizacji";
"Maskowane substraty bioluminogenne do selektywnego obrazowania parametrów biochemicznych raka";"dr Jacek Łukasz Kolanowski";"2018-06-05";"2021-06-04";"
    •  budżet - NCN

";"1 067 100";"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"SONATA; edycja 13";"
    •  Instytut Chemii Bioorganicznej Polskiej Akademii Nauk
    •  Instytut Genetyki Człowieka Polskiej Akademii Nauk

";"
    •  Zygmunta Noskowskiego 12/14, Poznań
    •  Strzeszyńska 32, Poznań

";"W trakcie realizacji";
"Badanie zależności pomiędzy poziomem endogennych fitohormonów, a potencjałem morfogenetycznym w warunkach różnej jakości światła w kulturach in vitro gerbery.";"Monika Cioć";"2018-06-05";"2020-06-04";"
    •  budżet - NCN

";"137 400";"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"PRELUDIUM; edycja 13";"
    •  Uniwersytet Rolniczy im. Hugona Kołłątaja w Krakowie; Wydział Biotechnologii i Ogrodnictwa

";"
    •  al. 29 Listopada 54, Kraków

";"W trakcie realizacji";
"Rola wielodomenowego białka TRIM28 w mechanizmach utrzymujących populację komórek o fenotypie nowotworowych komórek macierzystych";"dr Patrycja Czerwińska";"2018-06-04";"2021-06-03";"
    •  budżet - NCN

";"1 284 055";"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"SONATA; edycja 13";"
    •  Uniwersytet Medyczny im. Karola Marcinkowskiego w Poznaniu; Wydział Lekarski II

";"
    •  Bukowska 70, Poznań

";"W trakcie realizacji";
"Tekstylia i pieczęcie. Relacje pomiędzy produkcją włókienniczą a pieczęciami i praktykami stemplowania w Grecji epoki brązu";"dr Agata Maria Ulanowska";"2018-06-04";"2021-06-03";"
    •  budżet - NCN

";"637 052";"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"SONATA; edycja 13";"
    •  Uniwersytet Warszawski; Wydział Historyczny

";"
    •  Krakowskie Przedmieście 26/28, Warszawa

";"W trakcie realizacji";
"Określenie struktury składników ściany komórkowej wybranych szczepów bakterii z rodzaju Bifidobacterium i ich rola w rozwoju chorób o podłożu alergicznym";"dr hab. Sabina Barbara Górska";"2018-06-04";"2023-06-03";"
    •  budżet - NCN

";"1 534 520";"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"SONATA BIS; edycja 7";"
    •  Instytut Immunologii i Terapii Doświadczalnej im. Ludwika Hirszfelda Polskiej Akademii Nauk

";"
    •  Rudolfa Weigla 12, Wrocław

";"W trakcie realizacji";
"Poszukiwanie Nowej Fizyki w Radiacyjnych Rozpadach Powabu w eksperymencie LHCb";"dr Jolanta Brodzicka";"2018-06-04";"2022-06-03";"
    •  budżet - NCN

";"1 598 260";"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"SONATA BIS; edycja 7";"
    •  Instytut Fizyki Jądrowej im. Henryka Niewodniczańskiego Polskiej Akademii Nauk

";"
    •  Eljasza Walerego Radzikowskiego 152, Kraków

";"W trakcie realizacji";
"Badanie wpływu alternatywnych źródeł węgla na proces biosyntezy lipidów w drożdżach Yarrowia lipolytica";"dr Adam Dobrowolski";"2018-06-04";"2021-06-03";"
    •  budżet - NCN

";1526800;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"SONATA BIS; edycja 7";"
    •  Uniwersytet Przyrodniczy we Wrocławiu; Wydział Biotechnologii i Nauk o Żywności

";"
    •  Józefa Chełmońskiego 37, Wrocław

";"W trakcie realizacji";
"Uniwersalne działanie efektywne w zakrzywionej czasoprzestrzeni - teoria i zastosowania";"dr Łukasz Adrian Nakonieczny";"2018-06-04";"2021-06-03";"
    •  budżet - NCN

";544700;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"SONATA; edycja 13";"
    •  Uniwersytet Warszawski; Wydział Fizyki

";"
    •  Ludwika Pasteura 5, Warszawa

";"W trakcie realizacji";
"Opracowanie metodologii umożliwiającej stabilizację RNA w formie spinki do badań krystalograficznych";"dr Agnieszka Ludmiła Kiliszek";"2018-06-04";"2023-06-03";"
    •  budżet - NCN

";2250340;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"SONATA BIS; edycja 7";"
    •  Instytut Chemii Bioorganicznej Polskiej Akademii Nauk

";"
    •  Zygmunta Noskowskiego 12/14, Poznań

";"W trakcie realizacji";
"Wykonanie badań walidacyjnych wyprodukowanych elementów betonowych";"dr hab. ELŻBIETA JANOWSKA-RENKAS";"2018-06-04";"2018-07-03";"
    •  środki przedsiębiorstw krajowych

";3075;"Inne programy";"Inny program (Projekt realizowany na zlecenie podmiotów gospodarczych)";"
    •  Politechnika Opolska; Wydział Budownictwa i Architektury

";"
    •  Katowicka 48, Opole

";"Zakończony - Zrealizowany";
"Charakterystyka genetyczna populacji kaszubskiej: określenie pochodzenia częstych mutacji patogennych i ocena odrębności profilu neutralnej zmienności genetycznej.";"dr hab. BEATA LIPSKA-ZIĘTKIEWICZ";"2018-06-04";"2021-06-03";"
    •  budżet - NCN

";954820;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 13";"
    •  Gdański Uniwersytet Medyczny; Wydział Lekarski

";"
    •  Al.Zwycięstwa 41/42, Gdańsk

";"W trakcie realizacji";
"Nanostruktury złożone z foldamerów peptydowych.";"dr MONIKA ELŻBIETA SZEFCZYK";"2018-06-04";"2021-06-03";"
    •  budżet - NCN

";;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"SONATA; edycja 13";"
    •  Politechnika Wrocławska; Wydział Chemiczny

";"
    •  Cypriana Kamila Norwida 4/6, Wrocław

";"W trakcie realizacji";
"Interaktywny Atlas Historyczny - Szlakami Polski Niepodległej 1914-1922";"prof. dr hab. Jan Andrzej Pomorski";"2018-06-01";"2019-05-30";"
    •  budżet - MNiSW

";911400;"Projekt finansowany przez ministra właściwego do spraw nauki";"Szlakami Polski Niepodległej";"
    •  Uniwersytet Marii Curie-Skłodowskiej w Lublinie; Wydział Humanistyczny

";"
    •  pl. Marii Curie-Skłodowskiej 4a, Lublin

";"W trakcie realizacji";
"Nanostrukturalne światłowody fotoniczne do kilkumodowej propagacji nowe generacji.";"dr Tomasz Nasiłowski";"2018-06-01";"2021-05-31";"
    •  budżet - NCBR

";9476635;"Projekt strategiczny lub sektorowy oraz inny projekt krajowy realizowany w konsorcjum naukowym";;"
    •  InPhoTech
    •  Politechnika Warszawska; Wydział Elektroniki i Technik Informacyjnych
    •  Politechnika Warszawska; Wydział Fizyki
    •  Uniwersytet Marii Curie-Skłodowskiej w Lublinie; Wydział Chemii
    •  Zachodniopomorski Uniwersytet Technologiczny w Szczecinie; Wydział Elektryczny

";"
    •  Jeziorki 65C, Warszawa
    •  Nowowiejska 15/19/115, Warszawa
    •  Koszykowa 75, Warszawa
    •  pl. Marii Curie-Skłodowskiej 2, Lublin
    •  Władysława Sikorskiego 37, Szczecin

";"W trakcie realizacji";
"Ogólnoeuropejska ocena, monitorowanie i łagodzenie wpływu czynników oddziałujących negatywnie na zdrowie pszczół";"dr Tomasz Kiljanek";"2018-06-01";"2023-05-31";"
    •  środki Komisji Europejskiej

";895648;33;"Projekt w ramach programu ramowego Unii Europejskiej";"Projekty realizowane w ramach Horyzont 2020 (ERC, działanie Research & Innovation Action, Innovation Action, działania Marie Skłodowskiej-Curie)";"
    •  Państwowy Instytut Weterynaryjny - Państwowy Instytut Badawczy

";"
    •  Partyzantów 57, Puławy

";"W trakcie realizacji"
"NMKM+ Nanostrukturalne światłowody fotoniczne do kilkumodowej propagacji nowej generacji";"prof. dr hab. Ewa Maria Weinert-Rączka";"2018-06-01";"2021-05-31";"
    •  środki własne
    •  budżet - NCBR

";;"Projekt strategiczny lub sektorowy oraz inny projekt krajowy realizowany w konsorcjum naukowym";;"
    •  Zachodniopomorski Uniwersytet Technologiczny w Szczecinie

";"
    •  Piastów 17, Szczecin

";"W trakcie realizacji";
"PL 2022 - Zintegrowany Program Rozwoju Politechniki Lubelskiej";"Kluska Agnieszka,";"2018-06-01";"2021-12-31";"
    •  budżet - MNiSW
    •  środki własne
    •  środki UE

";11850356;9;"Projekt w ramach programu Unii Europejskiej";"Inny program (Program Operacyjny Wiedza Edukacja Rozwój)";"
    •  Politechnika Lubelska

";"
    •  Nadbystrzycka 38d, Lublin

";"W trakcie realizacji"
"Opracowanie nowych ekologicznych uniepalniaczy intumescent do zastosowania w żywicach epoksydowych";"dr Kamila Maria Sałasińska";"2018-06-01";"2019-12-31";"
    •  budżet - MNiSW

";340534;"Inne programy";"dotacja na utrzymanie potencjału badawczego";"
    •  Centralny Instytut Ochrony Pracy - Państwowy Instytut Badawczy

";"
    •  Czerniakowska 16, Warszawa

";"W trakcie realizacji";
"Innowacyjne rozwiązania w zakresie ochrony ludzi i budynków przed drganiami od ruchu kolejowego";"dr hab. Artur Zbiciak";"2018-06-01";"2021-05-31";"
    •  budżet - NCBR

";2840482;12;"Projekt o charakterze badawczym finansowany w ramach programu operacyjnego";"Projekt Operacyjny Inteligentny Rozwój";"
    •  Politechnika Warszawska; Wydział Inżynierii Lądowej
    •  Budimex S.A.
    •  Instytut Kolejnictwa
    •  Instytut Ochrony Środowiska - Państwowy Instytut Badawczy
    •  Tines S.A.

";"
    •  Lecha Kaczyńskiego 16, Warszawa
    •  Stawki 40, Warszawa
    •  Chłopickiego 50/-, Warszawa
    •  Krucza 5/11D, Warszawa
    •  Ciepłownicza 23, Kraków

";"W trakcie realizacji"
"Innowacyjne rozwiązania w zakresie ochrony ludzi i budynków przed hałasem od ruchu kolejowego";"mgr inż. Cezary Jerzy Kraśkiewicz";"2018-06-01";"2021-05-31";"
    •  budżet - NCBR

";1575857;"Projekt o charakterze badawczym finansowany w ramach programu operacyjnego";"Projekt Operacyjny Inteligentny Rozwój";"
    •  Politechnika Warszawska; Wydział Inżynierii Lądowej
    •  Budimex S.A.
    •  Instytut Ochrony Środowiska - Państwowy Instytut Badawczy
    •  Tines S.A.

";"
    •  Lecha Kaczyńskiego 16, Warszawa
    •  Stawki 40, Warszawa
    •  Krucza 5/11D, Warszawa
    •  Ciepłownicza 23, Kraków

";"W trakcie realizacji";
"GNSS Interference Monitoring and Mitigation for End-Users PRS. GIMME PRS";"Brak";"2018-06-01";"2020-05-31";"
    •  środki UE

";779916;"Projekt w ramach programu Unii Europejskiej";"Inny program (MS PRS pilot Project Joint Test Activities. GSA/GRANT/03/2016)";"
    •  Instytut Łączności - Państwowy Instytut Badawczy

";"
    •  Szachowa 1, Warszawa

";"W trakcie realizacji";
"Opracowanie kompleksowej metody analizy emotywnej i polaryzacji wydzwięku emocjonalnego wypowiedzi tekstowych w jezyku polskim.";"dr MACIEJ TOMASZ PIASECKI";"2018-06-01";"2019-09-30";"
    •  środki przedsiębiorstw krajowych

";;"Projekt o charakterze badawczym finansowany w ramach programu operacyjnego";"Program Operacyjny Innowacyjna Gospodarka";"
    •  Politechnika Wrocławska; Wydział Informatyki i Zarządzania

";"
    •  Ignacego Łukasiewicza 5, Wrocław

";"W trakcie realizacji";
"Impact of the gut-brain hormonal axis and enteric peptides in the development of food neophobia in children with genetically determined hypersensitivity to the bitter taste / Rola hormonów osi mózgowo-jelitowej w rozwoju neofobii pokarmowej u dzieci z genetycznie uwarunkowaną nadwrażliwością na smak gorzki.";"Anna Wiernicka";"2018-06-01";"2020-05-31";"
    •  inna (Fundacja Nutricia)

";247546;"Inne programy";"Inny program (Program Fundacji Badawczej Nutricia)";"
    •  Instytut ""Pomnik - Centrum Zdrowia Dziecka""

";"
    •  Aleja Dzieci Polskich 20, Warszawa

";"W trakcie realizacji";
"Subsurface Evaluation of Carbon capture and storage and Unconventional Risk";"dr Aleksandra Lis";"2018-06-01";"2021-05-31";"
    •  środki UE

";;"Projekt w ramach programu ramowego Unii Europejskiej";"Projekty realizowane w ramach Horyzont 2020 (ERC, działanie Research & Innovation Action, Innovation Action, działania Marie Skłodowskiej-Curie)";"
    •  Uniwersytet im. Adama Mickiewicza w Poznaniu; Wydział Historyczny

";"
    •  Umultowska 89 D, Poznań

";"W trakcie realizacji";
"Ocena fizjologiczna stanu kondycji drzewa. Badanie anatomiczne oraz transportu wody w pniu i korelacja wydajności w stosunku do budowy anatomicznej drewna";"dr hab. Urszula Zajączkowska";"2018-06-01";"2018-10-31";"
    •  inna (Instytut Badawczy Leśnictwa)

";50100;"Inne programy";"Inny program (prace badawcze zlecone)";"
    •  Szkoła Główna Gospodarstwa Wiejskiego w Warszawie; Wydział Leśny

";"
    •  Nowoursynowska 159/Bud.34, Warszawa

";"W trakcie realizacji";
"Badania hydrauliczne zbiorników wodorowych - ciśnieniowa próba cykliczna w warunkach temperatur pokojowych zgodnie z EC406/2010 (Ambient Temperature Pressure Cycle Test in accordance with EC406/2010)";"prof. dr hab. JERZY ZBIGNIEW KALETA";"2018-05-31";"2018-06-28";"
    •  środki przedsiębiorstw krajowych

";;"Inne programy";"Inny program (środki przedsiębiorstw krajowych)";"
    •  Politechnika Wrocławska; Wydział Mechaniczny

";"
    •  Ignacego Łukasiewicza 5, Wrocław

";"Zakończony - Zrealizowany";
"Opracowanie koncepcji doboru czujników promieniowania IR spełniających wymagania systemu detekcji pożaru i ciągłego monitoringu temperatury w strefach zagrożonych wybuchem.";"mgr inż. Ireneusz PLEBANKIEWICZ";"2018-05-30";"2018-07-06";"
    •  środki przedsiębiorstw krajowych

";49500;"Inne programy";"Inny program (inny)";"
    •  Wojskowy Instytut Techniki Inżynieryjnej im. profesora Józefa Kosackiego

";"
    •  Obornicka 136, Wrocław

";"W trakcie realizacji";
"Wykonanie próbek materiałowych z materiałów kompozytowych do badań procesu ablacji";"prof. dr hab. JERZY ZBIGNIEW KALETA";"2018-05-30";"2018-10-31";"
    •  krajowe uczelnie

";;"Inne programy";"Inny program (środki krajowych uczelni)";"
    •  Politechnika Wrocławska; Wydział Mechaniczny

";"
    •  Ignacego Łukasiewicza 5, Wrocław

";"W trakcie realizacji";
"Kształtowanie granic niepodległej Polski w świetle dokumentów kartograficznych";"dr hab. Beata Konopska";"2018-05-29";"2023-05-28";"
    •  budżet - MNiSW

";1228485;"Projekt finansowany przez ministra właściwego do spraw nauki";"Szlakami Polski Niepodległej";"
    •  Uniwersytet Marii Curie-Skłodowskiej w Lublinie

";"
    •  Plac im. Marii Curie-Skłodowskiej 5, Lublin

";"W trakcie realizacji";
"Ocena efektów treningu zawodniczek kajakarstwa w warunkach utrudnionego przepływu krwi";"mgr, inż. Michał Górski";"2018-05-25";"2018-12-15";"
    •  budżet - inne resorty

";"195’000,00";"Inne programy";"Inny program (Zadanie publiczne w ramach zadania 8.2 - Sport Wyczynowy, finansowane lub dofinansowane z części 25 budżetu państwa - kultura fizyczna, a także z Funduszu Rozwoju Kultury Fizycznej)";"
    •  Instytut Sportu - Państwowy Instytut Badawczy

";"
    •  Trylogii 2/16, Warszawa

";"W trakcie realizacji";
"Ocena zaburzeń w tkance kostnej i ryzyka złamań wśród zawodników uprawiających skoki narciarskie i piłkę siatkowa.";"dr hab. Jadwiga Malczewska-Lenczowska";"2018-05-25";"2018-12-15";"
    •  budżet - inne resorty

";"160’000,00";"Inne programy";"Inny program (Zadanie publiczne w ramach zadania 8.2 - Sport Wyczynowy, finansowane lub dofinansowane z części 25 budżetu państwa - kultura fizyczna, a także z Funduszu Rozwoju Kultury Fizycznej)";"
    •  Instytut Sportu - Państwowy Instytut Badawczy

";"
    •  Trylogii 2/16, Warszawa

";"W trakcie realizacji";
